summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_location,city_longitude
Strange aircraft.,Cutler Bay,FL,2015-07-16T21:00:00,light,1:20,"Occurred : 7/16/2015 21:00  (Entered as : 07/16/15 21:00) Reported: 7/17/2015 5:14:35 AM 05:14 Posted: 7/17/2015 Location: Cutler Bay, FL Shape: Light Duration:1:20",http://www.nuforc.org/webreports/120/S120445.html,"Strange air craft. Me and few two friends were sitting in the front porch when we saw this bright green light decent from the sky and Hoover over the sky for a while, and it stopped for a few seconds when it started moving at a very fast speed into the sky and disappear into the night, at first i thought it was a helicopter but it was too bright and fast moving to be a chopper.",2015-07-17T00:00:00,,,
Square cluster of lights over beachfront,Panama City Beach,FL,2015-07-04T21:20:00,light,15+ minutes,"Occurred : 7/4/2015 21:20  (Entered as : 07/04/2015 21:20) Reported: 7/4/2015 8:01:37 PM 20:01 Posted: 7/6/2015 Location: Panama City Beach, FL Shape: Light Duration:15+ minutes",http://www.nuforc.org/webreports/120/S120054.html,"Square cluster of lights over beachfront. During public beach fireworks displays, witnessed a square arrangement of 4 or more lights which seemed to belong to a single craft, colored green and white.  Hovered in a tight location, did not move with wind, 200-300 yards from ground.  Changed lateral location slightly, within 20 feet of original sighting, rotated slightly from time to time.  Craft also exhibited whitish aura above it, though there was little to no overhead cloud cover which would reflect light at that distance.  Initially considered craft to be a drone piloted from the ground.  I walked several hundred yards closer to observe, overheard other witnesses pointing out a drone in the sky.  No other lighted objects observed, no helicopter noise or otherwise was discernable.  Began walking away from area, turning every 15 seconds or so to look again.  Between glances the craft disappeared.  Did not observe it leaving the area or descending.  Drone theory still possible, but lights were brighter than aircraft marker lights and, being unfamiliar with drones, I am unsure if a drone could descend and land quickly enough to totally escape observation.  Corroborating observations are encouraged.  Attempt to photograph object resulting only in a blurred single light, with a iphone camera unable to distinguish individual points.",2015-07-06T00:00:00,30.289213333333297,POINT(-85.81383666666665 30.289213333333297),-85.81383666666665
2 bright red and orange fireball shaped objects slowly flying above the tree line in my back yard around 9:40pm  The craft hov,Port Charlotte,FL,2015-07-04T21:40:00,fireball,4 minutes,"Occurred : 7/4/2015 21:40  (Entered as : 07/04/2015 21:40) Reported: 7/5/2015 11:57:07 AM 11:57 Posted: 7/6/2015 Location: Port Charlotte, FL Shape: Fireball Duration:4 minutes",http://www.nuforc.org/webreports/120/S120111.html,"07/04/15 2 bright red and orange fireball shaped objects slowly flying above the tree line in my back yard around 9:40pm.  The craft hovered, moved left to right, up and down.  No real fast movements...almost as if it was watching the fireworks displays going on all around town.  And no sound at all.   Sometimes the light/color would become a brighter red or orange.  The first object winked out towards the south while the second one stayed around for another minute before it to winked out towards the east.   My daughter who was about 4 miles away also video taped one of the objects in her neighborhood around 9:25 about 15 minutes prior to our video.  She has about two minutes of video but she said it was there hovering for around 4 minutes.  I have video from two different phones which one is better than the other.  But my daughters iphone video is really good.",2015-07-06T00:00:00,26.981006611570255,POINT(-82.11690661157034 26.981006611570255),-82.11690661157034
"There were two slow flashing lights, red in color. They were north of my location, strobing in sync with each other.",Palm Bay,FL,2015-07-04T21:35:00,light,90 seconds,"Occurred : 7/4/2015 21:35  (Entered as : 07/04/15 21:35) Reported: 7/4/2015 7:30:46 PM 19:30 Posted: 7/6/2015 Location: Palm Bay, FL Shape: Light Duration:90 seconds",http://www.nuforc.org/webreports/120/S120026.html,"There were two slow flashing lights, red in color.  They were north of my location, strobing in sync with each other.  Although they seemed to be separate objects.   I believed they may be helicopters in the distance.  Until I saw a third and finally fourth come into view.  Seemingly from nowhere.  All four objects hovered in formation, and seemed to be slowly moving from west to east in the sky.  The initial two lights flashes began to dull out gradually with each flash until just never reoccuring.  The fourth light stopped flashing abruptly, and the third light had worked it's way to where the first two lights disappeared.  The third light remained there for about 20 sec.  Until slowly dimming away as well.  I thought at first these may have been helicopters but the glow of the lights was different than that of a helicopter and the pulse and intensity was something I had not seen before.",2015-07-06T00:00:00,27.99618064516127,POINT(-80.65104569892473 27.99618064516127),-80.65104569892473
"Naples, Florida, ufo sighting!",Naples,FL,2015-06-02T00:00:00,circle,10 minutes,"Occurred : 6/2/2015 00:00  (Entered as : 06/02/2015 0:00) Reported: 6/10/2015 11:41:50 AM 11:41 Posted: 6/15/2015 Location: Naples, FL Shape: Circle Duration:10 minutes",http://www.nuforc.org/webreports/119/S119463.html,"Naples Florida ufo sighting! Me and my wife stepped outside around 12:00am for some fresh air.  We live in Naples, Florida, where there's not much activity going on where we stay.   Around midnight, I look up in the sky (sw side) and see this object flashing different colors green, blue, yellow, white and red.  What amazed me the most is the way it moved , first in a erratic circular motion. then it moved to random but creative ways of direction, (triangular or oval movements as if it was making a symbol or message, criss crossing thru the sky.   Shortly after, it then moved in ways that if you tracked where it was from point a to point b, you could see its almost as if it was forming symbols for communication or attention.   I grabbed my camera and started recording and taking pictures.  Strangely my camera started malfunctioning as I took pictures and videos.  It was shot from my iPhone , however when you see the video you can clearly the object and me chasing the object thru the sky.  It disappeared then appeared out of nowhere in a different direction.   I'm really wanting to share this with everyone because its rare to sight ufos where I live in Florida.  It was not a plane, nor a star or a satellite simply because it was moving consistently, the colors, the way it illuminated, making unique movement as if it was forming symbols for communication.  Here are the pics and link to videos, you be the judge.  I might not know much about astrology but I know for sure this was not a natural occurrence.  https://m.youtube.com/watch?v=1SSwf6FYPSE  https://m.youtube.com/watch?v=B4dZyp9AprE  https://m.youtube.com/watch?v=_-LaWTUV1zc",2015-06-15T00:00:00,26.193181969949972,POINT(-81.73703021702818 26.193181969949972),-81.73703021702818
Saw 10 to15 red ufo with red pulsating lights and a bright in the middle.  They moved across the sky and disappeared.,Sarasota,FL,2015-06-05T20:00:00,cone,30 minutes,"Occurred : 6/5/2015 20:00  (Entered as : 06/05/2015 20:00) Reported: 6/6/2015 5:19:31 AM 05:19 Posted: 6/15/2015 Location: Sarasota, FL Shape: Cone Duration:30 minutes",http://www.nuforc.org/webreports/119/S119357.html,Saw 10 to15 red ufo with red pulsating lights and a bright in the middle.  They moved across the sky and disappeared.,2015-06-15T00:00:00,27.310734441087618,POINT(-82.4904402567977 27.310734441087618),-82.4904402567977
Unknown rotating object steadily moved across horizon while changing color and size.,Sarasota,FL,2015-07-04T22:20:00,circle,1 minute,"Occurred : 7/4/2015 22:20  (Entered as : 07/04/2015 22:20) Reported: 7/4/2015 7:37:17 PM 19:37 Posted: 7/6/2015 Location: Sarasota, FL Shape: Circle Duration:1 minute",http://www.nuforc.org/webreports/120/S120025.html,"Unknown rotating object steadily moved across horizon while changing color and size. Noticed horizontal traveling red ball, like it was on fire.  The redness slowly went away and object continued to steadily travel in a horizontal direction.  It appeared to increase in size as it moved and be rotating.   It disappeared behind trees. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-07-06T00:00:00,27.310734441087618,POINT(-82.4904402567977 27.310734441087618),-82.4904402567977
"I saw it coming home one night the same day of a Shuttle launch in Daytona Beach,Fl.",Daytona Beach,FL,1994-06-15T19:00:00,other,5min/less,"Occurred : 6/15/1994 19:00  (Entered as : ??/??/94 19:00) Reported: 12/12/2000 06:47 Posted: 3/21/2003 Location: Daytona Beach, FL Shape: Other Duration:5min/less",http://www.nuforc.org/webreports/015/S15427.html,"I saw it coming home one night the same day of a Shuttle launch in Daytona Beach,Fl. I can't be sure at this moment if the year is correct.....but it is approx. right. It was however the same day of a Shuttle launch. I was on my way home from work driving home from Orange City on I-4 then I had just got off 4 on to I-95 south. I was looking ahead and saw light's about a mile in front of me. I always see planes because the airport is near by. This time the lights stayed stationary and I was thinking it was a chopper and it was a speed check. So I slowed down...... As I got closer it remained in it's position,to the point I was able to drive under it. I was able to see that it wasn't a chopper,there was no noise. It had a shape un-like any other that I have ever seen on TV. One that I can not describe  cleary in writing. But I could draw,which I have several time's. But I will try to do so here................. ---------------------------------------- ---------------------------------------- -------     -----------------      ----- -----      -----------------      ---- ---        --------------        --- ------------ ------- ----- This is the best that I can do.. This is not a disk shaped object.. In the center was a large black circular window...front and back.. on both ends..front and back smaller round dark black holes appeared to be about the size of tires. I believe on the back side....because of the direction it was moving...Where 5 strobe light..horozontally aligned on the upper part of the craft. It did not turn like a plane as it left me...which it did when I pulled over and got out of my car.It turned and went over to the north bound side of I-95 and headed north.then it was just gone.......I went home and told my family....and of course everyone just thought I was crazy.... And for the rest of the night and the next day I had a headache that wouldn't go away. I have just now in the last 6 months got a computer and was watching sightings and felt it was time to at least tell someone of my sighting and that there is another shaped craft that hasn't been shown yet. ((NUFORC Note:  We will attempt to confirm the precise date.  Images in text are not preserved when they are downloaded into a database, so the stippled lines above are not the image.  PD))",2000-12-20T00:00:00,29.19165330188687,POINT(-81.03306603773574 29.19165330188687),-81.03306603773574
Glowing orange spheres over Cape Coral.,Cape Coral,FL,2015-06-05T22:00:00,light,2,"Occurred : 6/5/2015 22:00  (Entered as : 06/05/15 22:00) Reported: 6/6/2015 8:08:32 AM 08:08 Posted: 6/15/2015 Location: Cape Coral, FL Shape: Light Duration:2",http://www.nuforc.org/webreports/119/S119355.html,"Glowing orange spheres over Cape Coral. While driving in my vehicle at approximately 22:00hrs, I observed 3 orange glowing objects toward the north east.  The three objects were in a triangular pattern very high up in the night sky and changing their positions not necessarily holding the triangular pattern all the time. Then the three objects separated and one of them came directly at me over head moving west bound while maintaining its height.  The other two went up.  One went very fast. So fast that I blinked as it was moving and it was gone.  The last one also was traveling upward at a much slower speed until it went out of sight. These objects were at the altitude of conventional aircraft or maybe a little higher.  They didn't move like conventional aircraft and the glowing orange light which they emitted never pulsated but was constant.  There were no other lights associated with them such as conventional aircraft are equipped with. I was not able to exit my vehicle due to the flow of traffic behind me and am unable to witness to if they made any sound. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-06-15T00:00:00,26.6164216981131,POINT(-81.97006591981146 26.6164216981131),-81.97006591981146
5 moving orange circles in the night sky,Miami,FL,2015-06-05T22:00:00,circle,10 minutes,"Occurred : 6/5/2015 22:00  (Entered as : 06/05/15 22:00) Reported: 6/10/2015 9:02:37 AM 09:02 Posted: 6/15/2015 Location: Miami, FL Shape: Circle Duration:10 minutes",http://www.nuforc.org/webreports/119/S119459.html,"5 moving orange circles in the night sky Driving inside my community I looked up at the sky and noticed 3 orange colored circles in the sky.  The objects were moving in the same direction and very close to each other so I knew they couldn't be airplanes or stars.   I recorded the images and slowly one by one disappeared into the night sky.   When I arrived at my house and parked my car, I told my 2 neighbors that were outside and started to show them the video.   Then I looked up at the sky and noticed 2 more which my neighbors also saw.   We stayed looking up asking ourselves what it could be and then they also disappeared. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-06-15T00:00:00,25.774142713507455,POINT(-80.28951850011364 25.774142713507455),-80.28951850011364
"Two black objects very high in the sky totally overcasts, several commercial planes flew between the two objects going east.",Fort Lauderdale,FL,2015-06-06T18:00:00,circle,15 minutes,"Occurred : 6/6/2015 18:00  (Entered as : 06/06/2015 18:00) Reported: 6/6/2015 4:30:27 PM 16:30 Posted: 6/15/2015 Location: Fort Lauderdale, FL Shape: Circle Duration:15 minutes",http://www.nuforc.org/webreports/119/S119364.html,"Two black objects very high in the sky totally overcasts, several commercial planes flew between the two objects going east. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-06-15T00:00:00,26.136914681280622,POINT(-80.21914075569774 26.136914681280622),-80.21914075569774
2 nights of bright as the moon object and 5 aircraft in night sky after seeing it.  ((NUFORC Note:  Venus & Jupiter.  PD)),Tallahassee,FL,2015-06-30T21:45:00,light,2 days,"Occurred : 6/30/2015 21:45  (Entered as : 6/30/2015 21:45) Reported: 6/30/2015 8:12:57 PM 20:12 Posted: 7/3/2015 Location: Tallahassee, FL Shape: Light Duration:2 days",http://www.nuforc.org/webreports/119/S119918.html,"2 nights of bright as the moon object and 5 aircraft in night sky after seeing it. On the night of June 29, 2015, I saw a very bright light next to a western star.  This light did not appear to move.  I was driving and turned away from it heading to a local pub.  The bouncer said he saw the same thing in he western sky at 21:45.  I saw it at 22:00.   Tonight on June 30, 2015, I was driving again and saw the same light.  Except this time I was able to watch it for a good 15 minutes while I was stopped and at traffic lights.  This light was still next to a small star in the sky but the this time I saw this light fade in and out.  When the light went out it was just a faint gray dot in the sky.  The light would come back on gradually to get brighter and brighter.   I made it to my destination and told everybody what I had just seen for the last two nights.  They (my family) wanted to go outside to see ""it"".  The only thing we got to see is a bunch of aircrafts flying in formation.  Three in formation 1 flying off in opposite direction with fast blinking lights at odd speeds.  And one very normal plane going to the airport off from the others.  For a total of 5 planes at the same time around the time of 22:10. ((NUFORC Note:  We strongly suspect that the two bright objects in the northwestern sky were Venus and Jupiter.  PD))",2015-07-03T00:00:00,30.474393346379582,POINT(-84.25529034572872 30.474393346379582),-84.25529034572872
2 stationary objects in the sky.  ((NUFORC Note:  Probably Venus and Jupiter in the northwestern sky.  PD)),Citrus Springs,FL,2015-06-30T22:14:00,triangle,,"Occurred : 6/30/2015 22:14  (Entered as : 06/30/2015 22:14) Reported: 7/1/2015 7:20:07 PM 19:20 Posted: 7/3/2015 Location: Citrus Springs, FL Shape: Triangle Duration:",http://www.nuforc.org/webreports/119/S119946.html,2 stationary objects in the sky. 2 Stationary light in sky.  One on left is extremely bright and triangular.  One to the right same but not as bright. ((NUFORC Note:  Probably Venus and Jupiter in the northwestern sky.  PD)) ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),2015-07-03T00:00:00,,,
"This craft was silent, had no lights, but glowed, & I have never seen anything like it!",Bonita Springs,FL,2015-07-04T22:40:00,oval,2 minutes,"Occurred : 7/4/2015 22:40  (Entered as : 7/04/15 22:40) Reported: 7/4/2015 10:55:57 PM 22:55 Posted: 7/6/2015 Location: Bonita Springs, FL Shape: Oval Duration:2 minutes",http://www.nuforc.org/webreports/120/S120065.html,"This craft was silent, had no lights, but glowed, & I have never seen anything like it! A friend & myself, observed an oval shaped orange & white glow move across his house.  It was approximately 1,000 to possibly 1,500 miles up.   Came from the East, heading in a straight line West.  It was silent, did not stop, but kept a straight path west, towards the Gulf of Mexico.  It was oval shaped, glowed in orange, & had a sliver of white light.  No lights were detected on this craft, such as an airplane or helicopter.    I researched my sighting description online, & found exact images of what my friend & I saw from many others in many countries, termed as Japanese lanterns.",2015-07-06T00:00:00,26.368205111821172,POINT(-81.78585399361074 26.368205111821172),-81.78585399361074
Bright orange orb hovering over Vero Beach.,Vero Beach,FL,2015-07-04T22:45:00,circle,3 minutes,"Occurred : 7/4/2015 22:45  (Entered as : 07/04/15 22:45) Reported: 7/4/2015 8:27:26 PM 20:27 Posted: 7/6/2015 Location: Vero Beach, FL Shape: Circle Duration:3 minutes",http://www.nuforc.org/webreports/120/S120049.html,"Bright orange orb hovering over Vero Beach. Extremly bright orange orb hovering for about 3 minutes.   Then seemed to turn away.  Upon turning away, shaped turned into an S shape, turned gray and vanished.",2015-07-06T00:00:00,27.656004878048805,POINT(-80.4330238482385 27.656004878048805),-80.4330238482385
"Two triangle shaped craft with 4 lights total hovering 4/5 stories above city, craft left and then blue/white light covered the sky.",Altamonte Springs,FL,2015-06-06T22:00:00,triangle,1.5 hours,"Occurred : 6/6/2015 22:00  (Entered as : 06/06/15 22:00) Reported: 6/6/2015 10:19:46 PM 22:19 Posted: 6/15/2015 Location: Altamonte Springs, FL Shape: Triangle Duration:1.5 hours",http://www.nuforc.org/webreports/119/S119385.html,"Two triangle shaped craft with 4 lights total hovering 4/5 stories above city, craft left and then blue/white light covered the sky. Two triangle shaped UFOs were seen hovering about 4 or 5 stories above common (open city) area.  The crafts were triangle shaped and had 3 lights at the tips and one in the center.  They moved in un-natural flight patterns at very slow speeds and made no sound whatsoever.   Crafts eventually went out of site, however, shortly after we lost sight of the UFOs the entire sky turned a blue/white flashing light and looked a lot like when a transformer blows only this much much larger.  And towards the end of the flashing, the sky turned completely white for a solid 3 seconds, then all odd activity appeared to be over.",2015-06-15T00:00:00,28.66467850162859,POINT(-81.40282866449502 28.66467850162859),-81.40282866449502
There were two bright circular objects in the direction of Tampa International.  ((NUFORC Note:  Venus & Jupiter?  PD)),Tampa,FL,2015-07-01T21:00:00,light,>2 hours,"Occurred : 7/1/2015 21:00  (Entered as : 07/01/15 21:00) Reported: 7/1/2015 9:25:39 PM 21:25 Posted: 7/3/2015 Location: Tampa, FL Shape: Light Duration:>2 hours",http://www.nuforc.org/webreports/119/S119936.html,"There were two bright circular objects (I live in north Tampa and the objects were in the direction of Tampa International Airport) that I thought were stars because they did not move for over 30 mins then all of a sudden they slowly moved north.  At this time I thought they were still stars or planets in the sky.  They were abnormally bright but then in an instant the one object that was further ways slowly faded away then the other.   I was on the phone at the time looking at these objects and that is when things got weird.  When these seemed to be ""star like objects"" kept disappearing and fading away then coming back I knew it was was not a star or plane.  I could see planes landing and taking off in and around these objects.  But these objects would stay in one spot for several minutes then fade away and show up in slightly a different spot stay still then get brighter the fade again.  These were definitely not planes.  And not drones because they faded way too fast and seemed to hover then me then disappear all in an instant. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-07-03T00:00:00,28.00681435810791,POINT(-82.47646101351302 28.00681435810791),-82.47646101351302
"Green flash, power surged.",Port Saint Lucie,FL,2015-06-07T05:23:00,flash,3 seconds,"Occurred : 6/7/2015 05:23  (Entered as : 06/07/2015 05:23) Reported: 6/7/2015 3:01:21 AM 03:01 Posted: 6/15/2015 Location: Port Saint Lucie, FL Shape: Flash Duration:3 seconds",http://www.nuforc.org/webreports/119/S119378.html,"Green flash, power surged. There was a bright green flash in the sky.  All the houses on the street surged power at the time of flash.  The houses across from one another are on different grid lines.  No breaker noise.  Sky was clear.  Lasted a few seconds.",2015-06-15T00:00:00,27.285686301369818,POINT(-80.36344363992168 27.285686301369818),-80.36344363992168
"Looked up to the west, saw very low very bright white lights clustered together,is this a space station?motionless",Summerfield,FL,2015-07-01T22:00:00,light,half hour,"Occurred : 7/1/2015 22:00  (Entered as : 07/01/2015 22:00) Reported: 7/1/2015 7:36:45 PM 19:36 Posted: 7/3/2015 Location: Summerfield, FL Shape: Light Duration:half hour",http://www.nuforc.org/webreports/119/S119945.html,"Looked up, to the west saw very low very bright white lights clustered together,is this a space station? motionless, definitely not an airplane as it was stationary for an extended time very strange, actually got a few shots with my cell phone.",2015-07-03T00:00:00,29.007099999999948,POINT(-82.05130000000001 29.007099999999948),-82.05130000000001
A stationary bowl shaped object with colored lights.,Dahlonega,GA,2000-09-09T22:30:00,changing,at least 1 hour,"Occurred : 9/9/2000 22:30  (Entered as : 09/09/00 22:30) Reported: 9/11/2000 16:17 Posted: 3/21/2003 Location: Dahlonega, GA Shape: Changing Duration:at least 1 hour",http://www.nuforc.org/webreports/014/S14085.html,"A stationary bowl shaped object with colored lights. At 10:30 PM a flashing object was noticed in the southeastern sky. The object appeared to be just below the moon and yet was clearly visible. With binoculars we could see red, green, purple, and white lights. At times these colors seemed to spin around the object as it took the shape of a bowl. At other times the object appeared to have no shape; just flashes of color. There was very little movement. We watched for about 1 hour before retiring. It was an extremely strange thing to see and I will never forget it. ((NUFORC Note:  Description seems not inconsistent with a celestial body, but we did not see it.  PD))",2000-09-17T00:00:00,34.53254842105263,POINT(-83.98485789473699 34.53254842105263),-83.98485789473699
My wife and I were sitting on the porch and she saw the obj. in the sky and told me to look at the object that's when it disappeared.,Acworth,GA,2015-07-27T20:50:00,oval,5 minutes,"Occurred : 7/27/2015 20:50  (Entered as : 07/27/15 20:50) Reported: 7/27/2015 9:53:49 PM 21:53 Posted: 7/31/2015 Location: Acworth, GA Shape: Oval Duration:5 minutes",http://www.nuforc.org/webreports/120/S120698.html,"My wife and me were sitting on the porch and she saw the object in the sky and told me to look at the object that's when it disappeared. It was a oval shape.  1 object. Colors were white and red.  It went over the trees, then disappeared.",2015-07-31T00:00:00,34.05107468354444,POINT(-84.67985569620211 34.05107468354444),-84.67985569620211
"Wife and I saw an glowing orange orb fly overhead, and then disappear to the west.....",Warner Robins,GA,2015-08-02T09:45:00,fireball,50 seconds,"Occurred : 8/2/2015 09:45  (Entered as : 8/2/2015 9:45) Reported: 8/2/2015 7:44:02 PM 19:44 Posted: 8/6/2015 Location: Warner Robins, GA Shape: Fireball Duration:50 seconds",http://www.nuforc.org/webreports/120/S120837.html,"Wife and I saw an glowing orange orb fly overhead, and then disappear to the west.....",2015-08-06T00:00:00,32.59603047619048,POINT(-83.63209333333337 32.59603047619048),-83.63209333333337
"I saw a bright dot in the western sky, two attached circles white and silver visible only with binoculars.",Atlanta,GA,2015-08-03T08:00:00,oval,10 minutes,"Occurred : 8/3/2015 08:00  (Entered as : 08/03/2015 08:00) Reported: 8/5/2015 7:44:25 AM 07:44 Posted: 8/6/2015 Location: Atlanta, GA Shape: Oval Duration:10 minutes",http://www.nuforc.org/webreports/120/S120894.html,"I saw a bright dot in the western sky, two attached circles white and silver visible only with binoculars. I was looking for birds from my deck with a binoculars, and I stumbled on this bright dot in the western sky.  I could barely see it naked eye, but it was Ok with the binoculars.   My wife and niece watched too.  It was hoovering and moving a little bit left and right (south and north).  I couldn't make out very well the shape, which looked like a to spheres attached one to the other.  The color appeared to be white and silver.  It was very far high in the sky.    That day there was a good amount of commercial airplanes flying from East to West, south of my observation point.  It doesn't happened every day to see that many planes in that point at that time, it might be a route that is taken due to weather or else, and by the way the weather was perfect that morning.  Anyway, at a certain point I am not sure where it went but it was not there any more.   I don't know what I was looking at, my niece (21 y o) doesn't either, but she says she saw a UFO.  It was a UFO to me, at least, I don't want to jump to conclusions.    Considering the shape (to spheres attached one to the other) and the fact that it was not moving and it appeared to reflect light (at that time 8 am the sun was low in the eastern sky and was shining toward west hitting this object which was reflecting the light).  It was very difficult to spot, I saw it by accident.  I don't expect many people having seen it too. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-08-06T00:00:00,33.80870551584769,POINT(-84.38988231962149 33.80870551584769),-84.38988231962149
5 white lights hovering.,Savannah,GA,2015-08-05T21:45:00,formation,1 minute,"Occurred : 8/5/2015 21:45  (Entered as : 08/05/15 21:45) Reported: 8/6/2015 5:46:34 AM 05:46 Posted: 8/6/2015 Location: Savannah, GA Shape: Formation Duration:1 minute",http://www.nuforc.org/webreports/120/S120918.html,"5 White Lights hovering I was driving down Bay street about to approach I-516 on ramp,  I saw 5 straight white lights hovering which looked like an aircraft coming in for landing, but there were no runways in that direction and it didn't appear to be moving.   It then started to bank like it was turning, but it kept banking doing a complete 180 degrees.  I lost it as I approached the on ramp to I-516.",2015-08-06T00:00:00,32.02970094086019,POINT(-81.13525336021517 32.02970094086019),-81.13525336021517
Strobe craft.,Savannah,GA,2015-07-18T21:30:00,unknown,2-3 minutes,"Occurred : 7/18/2015 21:30  (Entered as : 07/18/2015 21:30) Reported: 7/18/2015 7:23:50 PM 19:23 Posted: 7/23/2015 Location: Savannah, GA Shape: Unknown Duration:2-3 minutes",http://www.nuforc.org/webreports/120/S120485.html,"Strobe craft. Single craft flying north to south, had a strange strobe light that varied intensity, from a light blink to a very intense strobe flash.  The craft made no sound or was Very high altitude. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-07-23T00:00:00,32.02970094086019,POINT(-81.13525336021517 32.02970094086019),-81.13525336021517
((NUFORC Note:  No information provided by witness.  PD)),Marietta,GA,2015-07-10T22:00:00,fireball,5 seconds,"Occurred : 7/10/2015 22:00  (Entered as : 07/10/2015 22:00) Reported: 7/15/2015 4:18:31 PM 16:18 Posted: 7/17/2015 Location: Marietta, GA Shape: Fireball Duration:5 seconds",http://www.nuforc.org/webreports/120/S120419.html,"((NUFORC Note:  No information provided by witness.  PD)) ((ADDENDUM #1 FROM WITNESS)) The object looked like a small Sun, but not as bright.  It did not have a trail but it did have a wide tail that looked like it might have moved so  fast that it just appeared to have a wide tail.  It was in the eastern sky, well above the trees.  It moved up and swerved to the left. I saw it for a few seconds before it vanished.  I could tell that it was pretty far away, but it had to have been huge and close to Earth.  ((END ADDENDUM #1)) ((ADDENDUM #2 FROM WITNESS)) I am 62 years old and have never seen anything like. Thank you so much for your response. ((END ADDENDUM #2))",2015-07-17T00:00:00,33.961887459016594,POINT(-84.510213196721 33.961887459016594),-84.510213196721
"The object looked like a small Sun, but not as bright.  It did not have a trail but did have a wide tail the same width as the front.",Marietta,GA,2015-07-10T22:00:00,fireball,5 seconds,"Occurred : 7/10/2015 22:00  (Entered as : 07/10/2015 22:00) Reported: 7/17/2015 8:11:09 AM 08:11 Posted: 7/17/2015 Location: Marietta, GA Shape: Fireball Duration:5 seconds",http://www.nuforc.org/webreports/120/S120441.html,"The object looked like a small Sun, but not as bright.  It did not have a trail but did have a wide tail the same width as the front.   It looked like it might have moved so fast that it gave the appearance of length to itself.   It was in the eastern sky, moved up and slightly swerved to the left.   I saw it for a few seconds before it vanished.   I could see that it was far from me but it had to have been huge and close to Earth.",2015-07-17T00:00:00,33.961887459016594,POINT(-84.510213196721 33.961887459016594),-84.510213196721
An orange glowing fireball passed overhead just after dark,Gainesville,GA,2015-07-22T21:05:00,fireball,90 seconds,"Occurred : 7/22/2015 21:05  (Entered as : 07/22/15 21:05) Reported: 7/22/2015 6:49:17 PM 18:49 Posted: 7/23/2015 Location: Gainesville, GA Shape: Fireball Duration:90 seconds",http://www.nuforc.org/webreports/120/S120575.html,"An orange glowing fireball passed overhead just after dark Traveling from a southerly direction to a northerly direction, a bright orange fiery object passed overhead at a high rate of speed, disappearing in less than a minute.  Where I live we have the bright orange street lamps illuminating our streets and parking areas, this was pretty much the same color and intensity except it glowed as an open flame not a light. While watching television, out of the corner of my eye this moving light caught my attention outside my french doors leading to my porch.  To get a better look, I went outside and observed the object traversing about 45 degrees above the horizon in an easterly direction from where I was standing.  The object was flickering as though on fire, the way a flame appears to the eye. While living in Florida I've seen many rocket and shuttle launches from the Cape, the glow emitted looked very similar, but there was not any smoke or exhaust trailing the 'fireball' that I observed as it flew by, also I was unable to hear any sound as a jet, helicopter, or prop aircraft would make.",2015-07-23T00:00:00,34.313217712177035,POINT(-83.8058749077491 34.313217712177035),-83.8058749077491
"We saw orange lights that seemed to appear out of nowhere.  They went in a line, and at one point 3 of them moved into a triangle.",Byron,GA,2015-07-11T22:45:00,formation,15 minute,"Occurred : 7/11/2015 22:45  (Entered as : 07/11/15 22:45) Reported: 7/12/2015 5:54:17 AM 05:54 Posted: 7/17/2015 Location: Byron, GA Shape: Formation Duration:15 minute",http://www.nuforc.org/webreports/120/S120305.html,We saw orange lights that seemed to appear out of nowhere.  They went in a line and at one point three of them moved into a triangular formation.  Eventually they faded out into the horizon.   Thinking they were done we looked away.  About that time more began to come across the sky.  This lasted for about 15-20 minutes.   Someone else must have seen this.  Also there was not any noise coming from the objects.,2015-07-17T00:00:00,32.6612,POINT(-83.7854 32.6612),-83.7854
I saw a very bright low-hovering red and yellow oval craft.,Dublin,GA,2015-07-12T11:06:00,circle,15 seconds,"Occurred : 7/12/2015 11:06  (Entered as : 07/12/15 11:06) Reported: 7/12/2015 8:22:15 PM 20:22 Posted: 7/17/2015 Location: Dublin, GA Shape: Circle Duration:15 seconds",http://www.nuforc.org/webreports/120/S120337.html,"I saw a very bright low-hovering red and yellow oval craft. While I was outside smoking a cigarette, I looked up to see a very bright, silent, hovering craft.  The object was primarily yellow with two red circling lights.  After shining a laser pointer and spotlight at the craft, it disappeared as mysteriously as it had appeared.",2015-07-17T00:00:00,32.473618367346965,POINT(-82.94390408163271 32.473618367346965),-82.94390408163271
